date,year,month,meter_id,measurement_type,meter_type,suburb,usage_type,total_value,avg_value,max_value,min_value,reading_count,processed_time
2022-07-13,2022,7,283478,Pulse1_Total,captis_pulse,buderim,residential,9498508.0,412978.60869565216,413109.0,412605.0,23,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61194261,Pulse1,captis_pulse,buderim,residential,22.0,1.2222222222222223,9.0,0.0,18,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61194261,Pulse1_Total,captis_pulse,buderim,residential,1071130.0,59507.22222222222,59561.0,59492.0,18,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61194261,DeviceTemperature,captis_pulse,buderim,residential,15.5,15.5,15.5,15.5,1,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,61194261,Pulse1,captis_pulse,buderim,residential,107.0,4.115384615384615,31.0,0.0,26,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,61194261,Pulse1_Total,captis_pulse,buderim,residential,1552583.0,59714.730769230766,59861.0,59561.0,26,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,61194261,DeviceTemperature,captis_pulse,buderim,residential,26.6,26.6,26.6,26.6,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,65104206,Pulse1,captis_pulse,buderim,residential,597.0,37.3125,144.0,3.0,16,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,65104206,DeviceTemperature,captis_pulse,buderim,residential,26.6,13.3,15.5,11.1,2,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,65104206,Battery,captis_pulse,buderim,residential,74.966,24.988666666666663,69.0,2.326,3,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,65104206,Pulse1,captis_pulse,buderim,residential,1294.0,58.81818181818182,231.0,13.0,22,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,76876,Pulse1,captis_pulse,buderim,residential,67.0,3.35,32.0,0.0,20,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,76876,Pulse1_Total,captis_pulse,buderim,residential,7534746.0,358797.4285714286,358914.0,358767.0,21,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,76876,Battery,captis_pulse,buderim,residential,73.318,24.439333333333334,68.0,1.688,3,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,76876,DeviceTemperature,captis_pulse,buderim,residential,8.7,8.7,8.7,8.7,1,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,76876,Pulse1,captis_pulse,buderim,residential,122.0,5.304347826086956,79.0,0.0,23,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,76876,Pulse1_Total,captis_pulse,buderim,residential,8257486.0,359021.1304347826,359145.0,358915.0,23,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,76876,DeviceTemperature,captis_pulse,buderim,residential,21.8,21.8,21.8,21.8,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,60219035,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,60219035,Pulse1_Total,captis_pulse,buderim,residential,748.0,44.0,44.0,44.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,60219035,DeviceTemperature,captis_pulse,buderim,residential,10.2,10.2,10.2,10.2,1,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,60219035,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,26,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,60219035,Pulse1_Total,captis_pulse,buderim,residential,1100.0,44.0,44.0,44.0,25,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61184899,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61184899,Pulse1_Total,captis_pulse,buderim,residential,128945.0,7585.0,7585.0,7585.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61184899,DeviceTemperature,captis_pulse,buderim,residential,9.0,9.0,9.0,9.0,1,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,61184899,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,26,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,61184899,Pulse1_Total,captis_pulse,buderim,residential,197210.0,7585.0,7585.0,7585.0,26,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,61184899,DeviceTemperature,captis_pulse,buderim,residential,18.7,18.7,18.7,18.7,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,9338236,Pulse1,captis_pulse,mountain creek,residential,19.0,1.1176470588235294,7.0,0.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,9338236,Pulse1_Total,captis_pulse,mountain creek,residential,1604997.0,94411.58823529411,94454.0,94386.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,9338236,Battery,captis_pulse,mountain creek,residential,99.919,33.306333333333335,94.0,2.389,3,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,9338236,Pulse1,captis_pulse,mountain creek,residential,117.0,4.875,73.0,0.0,24,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,9338236,Pulse1_Total,captis_pulse,mountain creek,residential,2268207.0,94508.625,94635.0,94462.0,24,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,9338236,DeviceTemperature,captis_pulse,mountain creek,residential,19.0,19.0,19.0,19.0,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,46053995,Pulse1,captis_pulse,griffin,non-residential,738.0,36.9,206.0,7.0,20,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,46053995,DeviceTemperature,captis_pulse,griffin,non-residential,22.64,11.32,14.74,7.9,2,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,46053995,Battery,captis_pulse,griffin,non-residential,69.228,23.075999999999997,64.0,1.588,3,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,46053995,Pulse1,captis_pulse,griffin,non-residential,2600.0,104.0,269.0,5.0,25,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,46054156,Pulse1,captis_pulse,maroochydore,residential,4770.0,280.5882352941176,760.0,10.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,46054156,Battery,captis_pulse,maroochydore,residential,3.64,3.64,3.64,3.64,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,46054156,DeviceTemperature,captis_pulse,maroochydore,residential,9.2,9.2,9.2,9.2,1,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,46054156,Pulse1,captis_pulse,maroochydore,residential,10090.0,388.0769230769231,760.0,150.0,26,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61278924,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61278924,Pulse1_Total,captis_pulse,buderim,residential,510.0,30.0,30.0,30.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61278924,DeviceTemperature,captis_pulse,buderim,residential,31.56,10.52,12.86,9.2,3,2025-12-23T13:39:34.573Z
